bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,602,602,False,500,0.061941,0.5203,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,1602,1602,False,500,0.068918,0.5008,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,2602,2602,False,500,0.044564,0.4808,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,3602,3602,False,500,0.062945,0.4809,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,4602,4602,False,500,0.065629,0.515,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,5602,5602,False,500,0.072322,0.5077,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,6602,6602,False,500,0.089243,0.5055,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,7602,7602,False,500,0.066484,0.4938,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,8602,8602,False,500,0.086215,0.4983,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,9602,9602,False,500,0.070253,0.5141,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,759,759,False,500,0.070378,0.5032,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,1759,1759,False,500,0.063794,0.4827,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,2759,2759,False,500,0.076064,0.4883,1,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,3759,3759,False,500,0.07899,0.4826,2,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,4759,4759,False,500,0.065618,0.5258,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,5759,5759,False,500,0.067546,0.4904,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,6759,6759,False,500,0.074196,0.5226,1,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,7759,7759,False,500,0.073967,0.5069,2,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,8759,8759,False,500,0.072485,0.5055,4,0.0025
0.5,0.0,0,1.0,single,0.15,0.2,20,continuous,0.0,9759,9759,False,500,0.069397,0.49,2,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,223,223,False,500,0.062814,0.5036,6,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,1223,1223,False,500,0.073085,0.5302,7,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,2223,2223,False,500,0.077941,0.4979,6,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,3223,3223,False,500,0.063448,0.5338,7,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,4223,4223,False,500,0.070204,0.552,6,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,5223,5223,False,500,0.059042,0.4939,6,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,6223,6223,False,500,0.067025,0.5579,6,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,7223,7223,False,500,0.072885,0.529,8,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,8223,8223,False,500,0.070386,0.4701,7,0.01
0.5,0.0,0,1.0,single,0.15,0.3,10,continuous,0.0,9223,9223,False,500,0.067761,0.4785,8,0.01
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,956,956,False,500,0.073075,0.4931,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,1956,1956,False,500,0.065577,0.5093,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,2956,2956,False,500,0.058721,0.5134,4,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,3956,3956,False,500,0.074547,0.4947,7,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,4956,4956,False,500,0.072314,0.5037,5,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,5956,5956,False,500,0.067927,0.4963,2,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,6956,6956,False,500,0.071297,0.5111,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,7956,7956,False,500,0.072365,0.495,3,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,8956,8956,False,500,0.069751,0.5096,4,0.0025
0.5,0.0,0,1.0,single,0.15,0.3,20,continuous,0.0,9956,9956,False,500,0.067519,0.5247,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,665,665,False,500,0.032958,0.5046,5,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,1665,1665,False,500,0.07471,0.5089,4,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,2665,2665,False,500,0.046913,0.51,6,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,3665,3665,False,500,0.066415,0.5023,4,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,4665,4665,False,500,0.07674,0.4722,7,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,5665,5665,False,500,0.039153,0.5103,5,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,6665,6665,False,500,0.040448,0.4916,4,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,7665,7665,False,500,0.065768,0.4491,5,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,8665,8665,False,500,0.069675,0.5126,4,0.01
0.5,0.0,0,1.0,single,0.2,0.2,10,continuous,0.0,9665,9665,False,500,0.059859,0.512,2,nan
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,237,237,False,500,0.031804,0.5065,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,1237,1237,False,500,0.028424,0.4742,4,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,2237,2237,False,500,0.019259,0.4826,7,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,3237,3237,False,500,0.039726,0.4708,2,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,4237,4237,False,500,0.054752,0.4851,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,5237,5237,False,500,0.035531,0.5036,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,6237,6237,False,500,0.055312,0.479,4,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,7237,7237,False,500,0.050601,0.5014,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,8237,8237,False,500,0.046417,0.5203,4,0.0025
0.5,0.0,0,1.0,single,0.2,0.2,20,continuous,0.0,9237,9237,False,500,0.059412,0.5092,6,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,632,632,False,500,0.060224,0.4591,7,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,1632,1632,False,500,0.035886,0.5333,7,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,2632,2632,False,500,0.060307,0.4688,3,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,3632,3632,False,500,0.055578,0.4732,3,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,4632,4632,False,500,0.067123,0.5008,3,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,5632,5632,False,500,0.066445,0.5086,4,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,6632,6632,False,500,0.037753,0.5398,4,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,7632,7632,False,500,0.065789,0.4726,4,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,8632,8632,False,500,0.064146,0.5064,3,0.01
0.5,0.0,0,1.0,single,0.2,0.3,10,continuous,0.0,9632,9632,False,500,0.072303,0.4834,3,0.01
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,289,289,False,500,0.039143,0.5033,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,1289,1289,False,500,0.02936,0.4819,6,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,2289,2289,False,500,0.026259,0.502,5,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,3289,3289,False,500,0.019476,0.5083,2,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,4289,4289,False,500,0.032238,0.4937,4,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,5289,5289,False,500,0.030153,0.5196,6,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,6289,6289,False,500,0.065565,0.4852,5,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,7289,7289,False,500,0.031726,0.5093,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,8289,8289,False,500,0.043792,0.5077,3,0.0025
0.5,0.0,0,1.0,single,0.2,0.3,20,continuous,0.0,9289,9289,False,500,0.025071,0.5066,4,0.0025
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,900,900,False,500,0.069183,0.4933,2,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,1900,1900,False,500,0.037286,0.5348,4,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,2900,2900,False,500,0.002178,0.5239,2,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,3900,3900,False,500,0.020258,0.4374,5,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,4900,4900,False,500,0.019814,0.4674,4,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,5900,5900,False,500,0.008421,0.5017,3,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,6900,6900,False,500,0.008423,0.459,2,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,7900,7900,False,500,0.014049,0.5426,5,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,8900,8900,False,500,0.001014,0.4841,2,0.01
0.5,0.0,0,1.0,single,0.25,0.2,10,continuous,0.0,9900,9900,False,500,0.007564,0.5233,2,0.01
0.5,0.0,0,1.0,single,0.25,0.2,20,continuous,0.0,894,894,False,500,0.023997,0.5067,5,0.0025
