bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,164,164,False,500,0.074949,0.4961,8,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,1164,1164,False,500,0.072369,0.4603,9,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,2164,2164,False,500,0.070642,0.5096,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,3164,3164,False,500,0.088336,0.4973,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,4164,4164,False,500,0.074645,0.5437,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,5164,5164,False,500,0.070406,0.4608,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,6164,6164,False,500,0.08678,0.4994,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,7164,7164,False,500,0.093048,0.4793,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,8164,8164,False,500,0.085856,0.4922,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,9164,9164,False,500,0.078617,0.4881,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,14,14,False,500,0.08538,0.4979,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,1014,1014,False,500,0.077067,0.5142,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,2014,2014,False,500,0.073744,0.5004,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,3014,3014,False,500,0.07584,0.5226,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,4014,4014,False,500,0.075754,0.4925,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,5014,5014,False,500,0.0841,0.4992,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,6014,6014,False,500,0.07893,0.4824,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,7014,7014,False,500,0.082021,0.5153,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,8014,8014,False,500,0.077216,0.4838,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.1,20,continuous,0.0,9014,9014,False,500,0.083921,0.4845,1,0.0025
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,55,55,False,500,0.083438,0.4801,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,1055,1055,False,500,0.084298,0.5114,5,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,2055,2055,False,500,0.073484,0.4971,8,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,3055,3055,False,500,0.077608,0.5217,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,4055,4055,False,500,0.078954,0.4578,8,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,5055,5055,False,500,0.070139,0.4725,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,6055,6055,False,500,0.09337,0.4502,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,7055,7055,False,500,0.074612,0.5026,7,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,8055,8055,False,500,0.102096,0.5277,7,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,9055,9055,False,500,0.077038,0.4917,5,0.01
0.5,0.0,0,1.0,single,0.1,0.2,20,continuous,0.0,674,674,False,500,0.08025,0.4954,1,0.0025
