bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,581,581,False,500,0.074336,0.4801,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,1581,1581,False,500,0.089332,0.4468,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,2581,2581,False,500,0.082699,0.4607,4,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,3581,3581,False,500,0.076552,0.564,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,4581,4581,False,500,0.080906,0.5019,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,5581,5581,False,500,0.087872,0.5003,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,6581,6581,False,500,0.082342,0.499,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,7581,7581,False,500,0.084121,0.4969,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,8581,8581,False,500,0.085118,0.482,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,9581,9581,False,500,0.095593,0.5216,7,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,510,510,False,500,0.081677,0.511,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,1510,1510,False,500,0.068559,0.5059,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,2510,2510,False,500,0.070908,0.4608,5,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,3510,3510,False,500,0.086509,0.5013,8,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,4510,4510,False,500,0.085958,0.5103,5,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,5510,5510,False,500,0.09613,0.4736,7,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,6510,6510,False,500,0.088802,0.4977,7,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,7510,7510,False,500,0.081441,0.4723,9,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,8510,8510,False,500,0.082279,0.5137,6,0.01
0.5,0.0,0,1.0,single,0.1,0.2,10,continuous,0.0,9510,9510,False,500,0.072683,0.4636,7,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,400,400,False,500,0.082186,0.5128,6,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,1400,1400,False,500,0.073893,0.4483,7,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,2400,2400,False,500,0.073971,0.479,6,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,3400,3400,False,500,0.08815,0.5062,7,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,4400,4400,False,500,0.085106,0.4838,7,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,5400,5400,False,500,0.074159,0.5027,7,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,6400,6400,False,500,0.08963,0.4687,5,0.01
0.5,0.0,0,1.0,single,0.1,0.3,10,continuous,0.0,7400,7400,False,500,0.077051,0.4617,5,0.01
