bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,731,731,False,500,0.09639,0.5529,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,1731,1731,False,500,0.099292,0.4839,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,2731,2731,False,500,0.086963,0.5586,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,3731,3731,False,500,0.097624,0.5643,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,4731,4731,False,500,0.094464,0.5411,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,5731,5731,False,500,0.09751,0.5531,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,6731,6731,False,500,0.102934,0.556,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,7731,7731,False,500,0.090624,0.5895,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,8731,8731,False,500,0.092582,0.5447,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,9731,9731,False,500,0.102679,0.5542,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,952,952,False,500,0.089476,0.5114,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,1952,1952,False,500,0.083953,0.5184,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,2952,2952,False,500,0.085358,0.5245,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,3952,3952,False,500,0.084042,0.4955,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,4952,4952,False,500,0.086435,0.5084,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,5952,5952,False,500,0.087643,0.5115,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,6952,6952,False,500,0.089769,0.5248,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,7952,7952,False,500,0.081001,0.5223,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,8952,8952,False,500,0.082618,0.5105,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,9952,9952,False,500,0.083364,0.5227,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,390,390,False,500,0.100825,0.5207,7,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,1390,1390,False,500,0.094268,0.5442,9,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,2390,2390,False,500,0.090058,0.5376,9,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,3390,3390,False,500,0.106701,0.587,9,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,4390,4390,False,500,0.092932,0.5379,7,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,5390,5390,False,500,0.105504,0.5689,8,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,6390,6390,False,500,0.09444,0.5787,7,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,7390,7390,False,500,0.074116,0.5711,7,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,8390,8390,False,500,0.085358,0.5328,9,0.01
0.5,0.0,1,1.0,single,0.1,0.2,10,continuous,0.0,9390,9390,False,500,0.098977,0.5077,6,0.01
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,582,582,False,500,0.086761,0.5077,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,1582,1582,False,500,0.081625,0.4995,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,2582,2582,False,500,0.08815,0.5183,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,3582,3582,False,500,0.081489,0.5176,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,4582,4582,False,500,0.086005,0.4909,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,5582,5582,False,500,0.08349,0.5156,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,6582,6582,False,500,0.078527,0.5057,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,7582,7582,False,500,0.077108,0.5116,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,8582,8582,False,500,0.089787,0.5179,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.2,20,continuous,0.0,9582,9582,False,500,0.082895,0.5207,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,892,892,False,500,0.10597,0.5015,6,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,1892,1892,False,500,0.092087,0.5026,11,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,2892,2892,False,500,0.084001,0.5534,8,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,3892,3892,False,500,0.10696,0.5711,8,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,4892,4892,False,500,0.090695,0.5311,7,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,5892,5892,False,500,0.09442,0.5209,7,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,6892,6892,False,500,0.109802,0.5102,9,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,7892,7892,False,500,0.086767,0.5105,9,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,8892,8892,False,500,0.097595,0.5192,9,0.01
0.5,0.0,1,1.0,single,0.1,0.3,10,continuous,0.0,9892,9892,False,500,0.096742,0.5199,7,0.01
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,847,847,False,500,0.086758,0.5292,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,1847,1847,False,500,0.084435,0.5155,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,2847,2847,False,500,0.083616,0.4966,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,3847,3847,False,500,0.07718,0.5326,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,4847,4847,False,500,0.086141,0.5028,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,5847,5847,False,500,0.085981,0.5138,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,6847,6847,False,500,0.078823,0.5085,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,7847,7847,False,500,0.079936,0.5359,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,8847,8847,False,500,0.081082,0.5094,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.3,20,continuous,0.0,9847,9847,False,500,0.088763,0.5151,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,308,308,False,500,0.098646,0.5535,6,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,1308,1308,False,500,0.084759,0.5613,6,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,2308,2308,False,500,0.076341,0.508,8,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,3308,3308,False,500,0.08583,0.5137,4,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,4308,4308,False,500,0.092148,0.5136,5,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,5308,5308,False,500,0.104942,0.5803,6,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,6308,6308,False,500,0.081594,0.518,5,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,7308,7308,False,500,0.081442,0.5609,4,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,8308,8308,False,500,0.072858,0.5196,6,0.01
0.5,0.0,1,1.0,single,0.15,0.1,10,continuous,0.0,9308,9308,False,500,0.080203,0.5664,6,0.01
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,195,195,False,500,0.074264,0.5194,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,1195,1195,False,500,0.080192,0.5341,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,2195,2195,False,500,0.080564,0.5138,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,3195,3195,False,500,0.078099,0.5316,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,4195,4195,False,500,0.073646,0.5045,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,5195,5195,False,500,0.077071,0.5343,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,6195,6195,False,500,0.084519,0.5426,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,7195,7195,False,500,0.085077,0.513,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,8195,8195,False,500,0.063513,0.5054,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.1,20,continuous,0.0,9195,9195,False,500,0.07455,0.5109,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,80,80,False,500,0.098199,0.6032,8,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,1080,1080,False,500,0.088641,0.4852,5,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,2080,2080,False,500,0.112343,0.5634,7,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,3080,3080,False,500,0.089978,0.5556,7,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,4080,4080,False,500,0.07727,0.5645,6,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,5080,5080,False,500,0.08418,0.5917,7,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,6080,6080,False,500,0.086589,0.5456,6,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,7080,7080,False,500,0.113535,0.5779,6,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,8080,8080,False,500,0.096642,0.5873,8,0.01
0.5,0.0,1,1.0,single,0.15,0.2,10,continuous,0.0,9080,9080,False,500,0.079829,0.5928,6,0.01
0.5,0.0,1,1.0,single,0.15,0.2,20,continuous,0.0,15,15,False,500,0.071504,0.5115,1,0.0025
0.5,0.0,1,1.0,single,0.15,0.2,20,continuous,0.0,1015,1015,False,500,0.086688,0.536,2,0.0025
0.5,0.0,1,1.0,single,0.15,0.2,20,continuous,0.0,2015,2015,False,500,0.066154,0.5467,3,0.0025
0.5,0.0,1,1.0,single,0.15,0.2,20,continuous,0.0,3015,3015,False,500,0.074864,0.4931,5,0.0025
